Nintendo 64 Game Title,Nintendo 64 Game Price
007: The World Is Not Enough,36.51
007: The World Is Not Enough [Grey],43.97
1080 Snowboarding,39.60
1080 Snowboarding [Not For Resale],0.00
1080 Snowboarding [Player's Choice],34.58
Aero Fighters Assault,34.61
AeroGauge,40.90
Aidyn Chronicles: The First Mage,55.80
Aidyn Chronicles: The First Mage [Grey],199.99
All-Star Baseball 2000,18.31
All-Star Baseball 2001,27.49
All-Star Baseball 99,12.31
All-Star Tennis '99,48.68
Armorines: Project S.W.A.R.M.,33.43
Army Men: Air Combat,33.74
Army Men: Air Combat [Grey],43.13
Army Men: Sarge's Heroes,29.09
Army Men: Sarge's Heroes 2,42.32
Army Men: Sarge's Heroes 2 [Grey],35.67
Asteroids Hyper 64,64.82
Automobili Lamborghini,31.01
Banjo-Kazooie,121.24
Banjo-Kazooie [Not For Resale],0.00
Banjo-Kazooie [Player's Choice],46.27
Banjo-Tooie,118.70
Banjo-Tooie [Not For Resale],0.00
Bass Hunter 64,18.59
Bass Masters 2000,27.42
Bass Masters 2000 [Grey],119.65
Batman Beyond: Return Of The Joker,69.26
BattleTanx,43.94
BattleTanx: Global Assault,43.43
Battlezone: Rise of the Black Dogs,142.09
Beetle Adventure Racing!,54.31
Big Mountain 2000,106.59
Bio FREAKS,22.95
Blast Corps.,67.80
Blues Brothers 2000,96.75
Body Harvest,66.69
Bomberman 64,80.93
Bomberman 64: The Second Attack,608.61
Bomberman Hero,78.43
Brunswick Circuit Pro Bowling,68.29
Buck Bumble,100.31
A Bug's Life,25.95
Bust-A-Move '99,77.86
Bust-A-Move 2: Arcade Edition,41.10
California Speed,33.68
Carmageddon 64,160.27
Castlevania,71.10
Castlevania: Legacy Of Darkness,221.45
Chameleon Twist,124.45
Chameleon Twist 2,263.39
Charlie Blast's Territory,113.65
Chef's Luv Shack: South Park,47.20
Chopper Attack,29.89
Clay Fighter 63 1/3,108.68
Clay Fighter: Sculptor's Cut,"2,282.76"
Command & Conquer,24.51
Conker's Bad Fur Day,210.72
Cruis'n Exotica,102.17
Cruis'n USA,55.96
Cruis'n USA [Player's Choice],39.27
Cruis'n World,46.28
CyberTiger,48.99
Daikatana,268.54
Dark Rift,28.20
Deadly Arts,89.91
Destruction Derby 64,63.61
Diddy Kong Racing,57.06
Diddy Kong Racing [Not For Resale],0.00
Diddy Kong Racing [Player's Choice],42.44
Disney's Tarzan,61.07
Donald Duck: Goin' Quackers,119.84
Donkey Kong 64,96.93
Donkey Kong 64 [Not For Resale],0.00
Donkey Kong 64 [Not For Resale][Grey],0.00
Doom 64,99.54
Dr. Mario 64,73.57
Dual Heroes,112.91
Duck Dodgers Starring Daffy Duck,141.71
Duke Nukem 64,69.07
Duke Nukem: Zero Hour,43.88
ECW Hardcore Revolution,34.28
Earthworm Jim 3D,213.34
Elmo's Letter Adventure,55.32
Elmo's Number Journey,44.36
Excitebike 64,44.89
Excitebike 64 [Not For Resale],0.00
Extreme G,34.88
Extreme G II,41.08
F-1 Pole Position 64,24.37
F-1 World Grand Prix,23.95
F-Zero X,95.87
FIFA Soccer 64,32.83
FIFA Soccer 99,24.30
FIFA: Road To World Cup 98,28.99
Fighter Destiny 2,126.62
Fighters Destiny,22.91
Fighting Force 64,69.47
Flying Dragon,174.39
Forsaken 64,26.89
Fox Sports College Hoops '99,17.24
GT 64: Championship Edition,21.61
Gauntlet Legends,76.24
Gauntlet Legends [w/ Figurine],352.39
Gex 3: Deep Cover Gecko,49.74
Gex 64: Enter The Gecko,33.56
Glover,60.98
Goemon's Great Adventure,351.20
Golden Nugget 64,22.80
GoldenEye 007,81.95
GoldenEye 007 [Not For Resale],0.00
GoldenEye: 007 [Player's Choice],59.72
Harvest Moon 64,159.61
Hercules: The Legendary Journeys,80.23
Hexen,49.34
Hey You Pikachu! [Game Only],0.00
"Hey You, Pikachu!",90.97
Hot Wheels: Turbo Racing,51.88
Hybrid Heaven,69.57
Hydro Thunder,68.42
Hydro Thunder [Grey],77.17
Iggy's Reckin Balls,65.85
Indiana Jones Infernal Machine,211.20
Indy Racing 2000,23.30
International Superstar Soccer '98,95.14
International Superstar Soccer 2000,259.43
International Superstar Soccer 64,57.69
International Track Field 2000,114.34
Jeopardy!,25.21
Jeremy McGrath Supercross 2000,18.71
Jet Force Gemini,40.65
Jet Force Gemini [Not For Resale],0.00
Ken Griffey Jr.'s Slugfest,28.63
Killer Instinct Gold,123.61
Kirby 64: The Crystal Shards,110.44
Knife Edge Nose Gunner,39.13
Knockout Kings 2000,16.61
Kobe Bryant in NBA Courtside,36.74
LEGO Racers,32.68
Legend of Zelda: Majora's Mask,130.12
Legend of Zelda: Majora's Mask [Holographic Label],191.71
Legend of Zelda: Majora's Mask [Not For Resale][Gold],0.00
Legend of Zelda: Majora's Mask [Not For Resale][Grey],0.00
Legend of Zelda: Ocarina of Time,77.26
Legend of Zelda: Ocarina of Time [Collector's Edition],350.66
Legend of Zelda: Ocarina of Time [Not For Resale],0.00
Legend of Zelda: Ocarina of Time [Player's Choice],73.44
Lode Runner 3-D,34.91
MLBPA Bottom Of The 9th,48.57
Mace: The Dark Age,60.85
Madden Football 64,21.71
Madden NFL 2000,12.69
Madden NFL 2001,15.77
Madden NFL 2002,17.54
Madden NFL 99,19.67
Magical Tetris Challenge,56.35
Major League Baseball featuring Ken Griffey Jr.,25.65
Mario Golf,92.16
Mario Kart 64,106.99
Mario Kart 64 [Not For Resale],84.95
Mario Kart 64 [Player's Choice],91.66
Mario Party,109.63
Mario Party 2,100.82
Mario Party 2 [Not For Resale],0.00
Mario Party 3,148.01
Mario Party 3 [Not For Resale],0.00
Mario Party [Not For Resale],0.00
Mario Tennis,70.31
Mario Tennis [Not For Resale],0.00
Mega Man 64,144.61
Memory Card Plus,22.52
Mia Hamm Soccer 64,21.79
Mickey's Speedway USA,43.33
Micro Machines 64 Turbo,47.20
Midway's Greatest Arcade Hits Volume 1,24.77
Mike Piazza's StrikeZone,26.22
Milo's Astro Lanes,45.84
Mischief Makers,108.43
Mission: Impossible,25.89
Monaco Grand Prix,74.56
Monopoly,60.67
Monster Truck Madness 64,38.17
Mortal Kombat 4,54.70
Mortal Kombat Mythologies: Sub Zero,44.32
Mortal Kombat Trilogy,66.79
Ms. Pac Man: Maze Madness,40.12
Multi-Racing Championship,28.60
Mystical Ninja Starring Goemon,282.65
NASCAR 2000,25.96
NASCAR 99,16.65
NBA Courtside 2 featuring Kobe Bryant,60.00
NBA Hang Time,40.13
NBA In The Zone 2000,163.30
NBA In The Zone 98,18.78
NBA In The Zone 99,19.28
NBA Jam '99,19.93
NBA Jam 2000,42.07
NBA Live '99,16.86
NBA Live 2000,18.87
NBA Showtime: NBA on NBC,37.17
NFL Blitz,34.99
NFL Blitz 2000,33.32
NFL Blitz 2001,33.96
NFL Blitz Special Edition,122.67
NFL Quarterback Club 2000,13.42
NFL Quarterback Club 2001,20.53
NFL Quarterback Club 98,12.90
NFL Quarterback Club 99,16.08
NHL '99,26.60
NHL Blades Of Steel '99,34.01
NHL Breakaway 98,15.87
NHL Breakaway 99,34.25
Nagano Winter Olympics '98,20.16
Namco Museum 64,31.26
New Tetris,50.96
Nightmare Creatures,79.06
Nintendo 64 Console [Atomic Purple Bundle],161.27
Nintendo 64 Console [Charcoal],65.16
Nintendo 64 Console [Donkey Kong 64 Set],253.79
Nintendo 64 Console [Fire],227.42
Nintendo 64 Console [Gold],775.86
Nintendo 64 Console [Grape Purple],131.43
Nintendo 64 Console [Ice Blue],288.09
Nintendo 64 Console [Jungle Green],199.10
Nintendo 64 Console [Pikachu Set],319.07
Nintendo 64 Console [Smoke Gray],221.24
Nintendo 64 Console [Star Wars Episode 1 Racer Limited Edition Set],139.73
Nintendo 64 Console [Watermelon],288.50
Nintendo 64 Controller Pak,27.70
Nintendo 64 Controller [Atomic Purple],88.81
Nintendo 64 Controller [Black],40.17
Nintendo 64 Controller [Blue],51.10
Nintendo 64 Controller [Donkey Kong 64],0.00
Nintendo 64 Controller [Extreme Green],165.77
Nintendo 64 Controller [Fire] [Funtastic],0.00
Nintendo 64 Controller [Gold] [Toys'R'Us ],0.00
Nintendo 64 Controller [Grape] [Funtastic],0.00
Nintendo 64 Controller [Gray],31.94
Nintendo 64 Controller [Green],43.50
Nintendo 64 Controller [Ice] [Funtastic],52.65
Nintendo 64 Controller [Jungle Green] [Funtastic],0.00
Nintendo 64 Controller [Millennium 2000],0.00
Nintendo 64 Controller [Red],45.22
Nintendo 64 Controller [Smoke] [Funtastic],0.00
Nintendo 64 Controller [Watermelon] [Funtastic],0.00
Nintendo 64 Controller [Yellow],57.68
Nintendo 64 Controller: Nintendo Power 100 [Gold],0.00
Nintendo 64 Expansion Pak,73.72
Nintendo 64 Hori Controller [Black],0.00
Nintendo 64 Hori Controller [Blue],0.00
Nintendo 64 Hori Controller [Gold],0.00
Nintendo 64 Hori Controller [Green],0.00
Nintendo 64 Hori Controller [Red],0.00
Nintendo 64 Hori Controller [Transparent Blue],0.00
Nintendo 64 Hori Controller [Transparent Orange],0.00
Nintendo 64 Hori Controller [Transparent Red],0.00
Nintendo 64 Hori Controller [Transparent Snow White],0.00
Nintendo 64 Hori Controller [Yellow],0.00
Nintendo 64 [Pokemon Stadium Battle Set],164.25
Nintendo 64: Memory Card Plus,24.65
Nintendo 64: Rumble Pak,32.31
Nuclear Strike 64,49.22
Off Road Challenge,36.86
Ogre Battle 64: Person Of Lordly Caliber,152.57
Olympic Hockey 98,45.13
PGA European Tour,90.32
Paper Mario,242.82
Paperboy,57.52
Penny Racers,64.01
Perfect Dark,61.81
Perfect Dark [Not For Resale],0.00
Perfect Dark [Player's Choice],0.00
Pilotwings 64,66.37
Pokemon Puzzle League,93.63
Pokemon Snap,152.16
Pokemon Snap [Not For Resale],0.00
Pokemon Snap [Not For Resale][Blockbuster],0.00
Pokemon Snap [Player's Choice],0.00
Pokemon Stadium,149.39
Pokemon Stadium 2,205.43
Pokemon Stadium 2 [Not For Resale],0.00
Pokemon Stadium [Not For Resale],0.00
Polaris SnoCross,46.72
Power Rangers Lightspeed Rescue,61.28
Powerpuff Girls: Chemical X-Traction,35.04
Quake,61.60
Quake II,47.55
Quest 64,52.73
Rally Challenge 2000,63.36
Rampage 2: Universal Tour,84.81
Rampage World Tour,70.21
Rat Attack!,248.08
Rayman 2: The Great Escape,96.47
Razor Freestyle Scooter,43.12
Re-Volt,25.64
Ready 2 Rumble Boxing,19.62
Ready 2 Rumble Boxing: Round 2,26.86
Resident Evil 2,141.07
Ridge Racer 64,30.15
Road Rash 64,84.87
Road Rash 64 [Grey],67.85
Roadsters,48.52
Robotron 64,40.80
Rocket: Robot On Wheels,222.58
Rugrats in Paris: The Movie,34.97
Rugrats in Paris: The Movie [Grey],20.28
Rugrats: Scavenger Hunt,34.65
Rush 2 Extreme Racing USA,35.93
S.C.A.R.S.,33.92
San Francisco Rush: 2049,67.81
San Francisco Rush: Extreme Racing,35.57
Scooby Doo! Classic Creep Capers,72.82
Scooby Doo! Classic Creep Capers [Grey],0.00
Shadow Man,30.62
Shadowgate 64: Trial of the Four Towers,74.29
Snowboard Kids,207.16
Snowboard Kids 2,257.80
South Park,61.34
South Park Rally,67.59
Space Invaders,32.61
Space Station Silicon Valley,140.83
Spider-Man,74.46
Star Fox 64,86.12
Star Fox 64 [Not For Resale],0.00
Star Fox 64 [Player's Choice],80.08
Star Soldier: Vanishing Earth,188.58
Star Wars Episode I: Battle For Naboo,46.02
Star Wars Episode I: Racer,27.39
Star Wars Episode I: Racer [Not For Resale],0.00
Star Wars: Rogue Squadron,33.83
Star Wars: Rogue Squadron [Not For Resale],0.00
Star Wars: Rogue Squadron [Player's Choice],37.98
Star Wars: Shadows Of The Empire,50.96
Star Wars: Shadows Of The Empire [Player's Choice],59.93
StarCraft 64,156.31
Starshot: Space Circus Fever,139.50
Stunt Racer 64,809.89
Super Bowling,811.59
Super Mario 64,106.01
Super Mario 64 [Not For Resale],0.00
Super Mario 64 [Player's Choice],75.94
Super Smash Bros.,151.30
Super Smash Bros. [Not For Resale],0.00
Super Smash Bros. [Player's Choice],0.00
Supercross 2000,22.11
Superman,67.45
Tetrisphere,29.35
Tigger's Honey Hunt,54.05
Tom & Jerry in Fists Of Furry,100.31
Tom Clancy's Rainbow Six,26.08
Tom Clancy's Rainbow Six [Grey],25.45
Tonic Trouble,56.70
Tony Hawk's Pro Skater,39.29
Tony Hawk's Pro Skater 2,81.81
Tony Hawk's Pro Skater 3,97.70
Top Gear Hyper-Bike,78.38
Top Gear Overdrive,38.85
Top Gear Rally,25.91
Top Gear Rally 2,57.96
Toy Story 2: Buzz Lightyear to the Rescue!,95.29
Transformers Beast Wars: Transmetals,640.07
Triple Play 2000,22.82
Turok 2: Seeds Of Evil,39.22
Turok 2: Seeds Of Evil [Grey],18.24
Turok 2: Seeds of Evil [Not For Resale],0.00
Turok 3: Shadow Of Oblivion,110.71
Turok: Dinosaur Hunter,37.10
Turok: Dinosaur Hunter [Player's Choice],30.52
Turok: Rage Wars,45.06
Turok: Rage Wars [Grey],0.00
Twisted Edge Extreme Snowboarding,12.21
V-Rally Edition '99,32.95
Vigilante 8,55.55
Vigilante 8: 2nd Offense,60.51
Virtual Chess 64,44.68
Virtual Pool 64,38.81
WCW Backstage Assault,35.52
WCW Backstage Assault [Grey],0.00
WCW Mayhem,17.17
WCW Nitro,33.95
WCW vs NWO: World Tour,27.24
WCW vs NWO: World Tour [Player's Choice],14.06
WCW/NWO Revenge,31.74
WWF Wrestlemania 2000,39.30
WWF: Attitude,21.09
WWF: No Mercy,71.87
WWF: War Zone,27.01
Waialae Country Club: True Golf Classics,16.49
War Gods,37.65
Wave Race 64,35.84
Wave Race 64 [Player's Choice],33.83
Wayne Gretzky's 3D Hockey,27.68
Wayne Gretzky's 3D Hockey '98,21.88
Wetrix,36.48
Wheel Of Fortune,42.60
WinBack: Covert Operations,48.44
Wipeout 64,35.28
World Cup 98,37.01
World Driver Championship,31.35
Worms: Armageddon,648.83
Xena Warrior Princess: Talisman of Fate,26.61
Yoshi's Story,93.80
Yoshi's Story : Not For Resale [International],0.00
Yoshi's Story [Player's Choice],48.23
